area	easting	northing	area	SIMDQuintile	region	density	age0-14	age15-44	age45-64	age65+	male	female
"S02001343"	399414.29945055	867039.195054945	128.863	1.25	"S08000020"	28.6428222220498	695	1631	834	531	49.7426171769168	50.2573828230832
"S02001344"	335365.188888889	735299.227777778	9490.659	4.125	"S08000030"	0.585628458466372	969	1713	1893	983	48.722562072688	51.277437927312
"S02001345"	350134.477011494	735700.649425287	10234.059	4.125	"S08000030"	0.573868100623614	1294	2091	1718	770	49.5828367103695	50.4171632896305
"S02001346"	348745.82278481	732250.620253165	97.159	4.5	"S08000030"	29.7965191078541	437	817	941	700	48.6701208981002	51.3298791018998
"S02001347"	349667.435064935	732791.058441559	145.173	4.28571428571429	"S08000030"	33.05711117081	622	1311	1436	1430	46.6347155657429	53.3652844342571
"S02001348"	355189.481481482	734372.450617284	151.919	2.71428571428571	"S08000030"	34.2419315556316	933	1929	1455	885	47.4625144175317	52.5374855824683
"S02001349"	356391.286432161	734837.316582915	179.669	4	"S08000030"	30.5617552276687	795	1531	1831	1334	47.004188672373	52.995811327627
"S02001350"	360910.388429752	743149.495867769	9617.239	3.66666666666667	"S08000030"	0.277730438018646	312	1087	822	450	57.5814301759641	42.4185698240359
"S02001351"	362587.270967742	741434.690322581	253.329	3	"S08000030"	22.8280220582721	1060	2145	1505	1073	48.4004841777624	51.5995158222376
"S02001352"	363292.650406504	741033.975609756	182.306	3.25	"S08000030"	20.2516647833862	464	1152	1099	977	46.830985915493	53.169014084507
"S02001353"	364247.54516129	740973.680645161	119.832	1.5	"S08000030"	39.2132318579344	613	1863	1237	986	47.5207490955523	52.4792509044478
"S02001354"	365057.992	741846.344	111.816	2	"S08000030"	42.9366101452386	956	1837	1189	819	46.9277233909602	53.0722766090398
"S02001355"	364088.964912281	742061.692982456	138.368	1.71428571428571	"S08000030"	35.3549953746531	925	1968	1286	713	48.221586263287	51.778413736713
"S02001356"	369507.104347826	753589	6860.002	3	"S08000030"	0.433236025295619	438	1007	997	530	49.5625841184388	50.4374158815613
"S02001357"	371596.801619433	757753.004048583	201.377	2.57142857142857	"S08000030"	28.1909056148418	822	2256	1467	1132	48.1768539721684	51.8231460278316
"S02001358"	371483.772357724	758981.073170732	159.378	3	"S08000030"	30.1923728494523	738	1717	1423	934	49.1479634247714	50.8520365752286
"S02001359"	369704.643478261	761422.956521739	5887.03	3.8	"S08000030"	0.600812294144926	694	1223	990	630	49.4486853265479	50.5513146734521
"S02001360"	358792.233944954	754952.490825688	20345.894	3.25	"S08000030"	0.172909580675098	588	1158	1150	622	50.6537805571347	49.3462194428653
"S02001361"	360402.603448276	759923.482758621	139.615	1.8	"S08000030"	25.6705941338681	635	1387	891	671	48.4095982142857	51.5904017857143
"S02001362"	359602.898809524	760481.113095238	161.207	3.4	"S08000030"	24.0312145254238	517	1332	1093	932	48.0898296334538	51.9101703665462
"S02001363"	347317.652920962	748391.89347079	21438.307	3.375	"S08000030"	0.249133478683741	771	1611	1906	1053	49.5225613181052	50.4774386818948
"S02001364"	345972.178343949	751213.445859873	193.773	3.66666666666667	"S08000030"	21.4116517781115	621	1382	1200	946	48.2043865991805	51.7956134008195
"S02001365"	345737.691176471	750535.022058824	121.665	2	"S08000030"	39.5101302757572	858	1883	1132	934	47.4724360307884	52.5275639692116
"S02001366"	344820.859259259	749916.296296296	170.952	2.83333333333333	"S08000030"	29.3298703729702	777	1732	1428	1077	47.8460311128839	52.1539688871161
"S02001367"	334920.462686567	749702.084577115	16781.458	3.2	"S08000030"	0.166254922546062	412	868	959	551	50.2508960573477	49.7491039426523
"S02001368"	338466.527659575	754131.429787234	215.6	3.25	"S08000030"	28.2050092764379	953	2068	1684	1376	47.9855286959382	52.0144713040618
"S02001369"	343335.945736434	762204.717054264	114780.761	3.2	"S08000030"	0.0321308202513137	597	1154	1212	725	50.704989154013	49.295010845987
"S02001370"	137976.073529412	742835.416666667	107234.623	3.2	"S08000022"	0.0361077410604595	583	1166	1282	841	47.029958677686	52.9700413223141
"S02001371"	185803.075697211	729344.74501992	1957.052	2.75	"S08000022"	2.97130582120455	1041	2271	1600	903	48.5296646603611	51.4703353396389
"S02001372"	185943.698529412	730448.080882353	110.803	3	"S08000022"	25.35129915255	409	1136	777	487	49.2702029191883	50.7297970808117
"S02001373"	192345.133663366	734744.282178218	67568.498	3.28571428571429	"S08000022"	0.0781133243482784	805	1548	1721	1204	48.7495263357332	51.2504736642668
"S02001374"	195928.380165289	720361.479338843	88942.993	3	"S08000022"	0.0253533181641414	291	650	801	513	49.6674057649668	50.3325942350333
"S02001375"	194889.608695652	700417.449275362	54788.696	3.25	"S08000022"	0.057256336234029	484	929	1036	688	49.4102645839975	50.5897354160026
"S02001376"	186189.487922705	687266.415458937	1293.777	2.6	"S08000022"	2.96187055419906	618	1333	1131	750	49.0605427974948	50.9394572025052
"S02001377"	182572.018348624	672142.541284404	57513.959	3.5	"S08000022"	0.0436937405056745	284	733	861	635	49.2240350179069	50.7759649820931
"S02001378"	134686.382352941	658805.365546219	105015.102	2.8	"S08000022"	0.0333285397370751	482	1091	1095	832	48.1142857142857	51.8857142857143
"S02001379"	171391.811881188	627183.475247525	61970.62	2.75	"S08000022"	0.0481195766639095	433	807	1009	733	49.7317236753857	50.2682763246144
"S02001380"	171889.268656716	620512.268656717	258.276	2.28571428571429	"S08000022"	19.0339017175425	765	1591	1335	1225	48.006509357201	51.993490642799
"S02001381"	208599.631578947	664104.15037594	12220.492	3.25	"S08000022"	0.219549262010073	308	628	926	821	47.8196049198658	52.1803950801342
"S02001382"	208693.664921466	664530.486910995	163.139	1.42857142857143	"S08000022"	23.4156149050809	551	1203	1129	937	47.434554973822	52.565445026178
